Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       49     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       47     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00       45     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00       45     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00       44     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int const&, int const&)
  0.00      0.00     0.00       44     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.00     0.00       44     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.00     0.00       43     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       41     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       40     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_get_Node_allocator()
  0.00      0.00     0.00       37     0.00     0.00  std::vector<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >, std::allocator<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > >::operator[](unsigned long) const
  0.00      0.00     0.00       35     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       35     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::begin()
  0.00      0.00     0.00       34     0.00     0.00  bool __gnu_cxx::operator==<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       34     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::count(std::pair<int, int> const&) const
  0.00      0.00     0.00       34     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::empty() const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int, int> > const*, std::_Rb_tree_node_base const*, std::pair<int, int> const&) const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::find(std::pair<int, int> const&) const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_end() const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_begin() const
  0.00      0.00     0.00       32     0.00     0.00  bool __gnu_cxx::operator!=<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       32     0.00     0.00  GraphAlgo::Graph::getNeighbors(int) const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator*() const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator-(long) const
  0.00      0.00     0.00       30     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::max_size() const
  0.00      0.00     0.00       30     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       30     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_S_max_size(std::allocator<GraphAlgo::Edge> const&)
  0.00      0.00     0.00       30     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::back()
  0.00      0.00     0.00       30     0.00     0.00  GraphAlgo::Edge&& std::forward<GraphAlgo::Edge>(std::remove_reference<GraphAlgo::Edge>::type&)
  0.00      0.00     0.00       28     0.00     0.00  GraphAlgo::Graph::getVertexCount() const
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator+(long) const
  0.00      0.00     0.00       27     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       23     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator->() const
  0.00      0.00     0.00       22     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.00     0.00       22     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.00     0.00       22     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.00     0.00       22     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       22     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00       21     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.00     0.00       21     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.00     0.00       21     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.00     0.00       21     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.00     0.00       21     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       21     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       20     0.00     0.00  GraphAlgo::Edge::Edge(int, int)
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_ptr()
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr()
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       20     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >::_M_valptr()
  0.00      0.00     0.00       20     0.00     0.00  std::__new_allocator<GraphAlgo::Edge>::deallocate(GraphAlgo::Edge*, unsigned long)
  0.00      0.00     0.00       20     0.00     0.00  std::__new_allocator<GraphAlgo::Edge>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       20     0.00     0.00  GraphAlgo::Edge& std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::emplace_back<int&, int&>(int&, int&)
  0.00      0.00     0.00       20     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_end()
  0.00      0.00     0.00       20     0.00     0.00  void std::_Construct<GraphAlgo::Edge, GraphAlgo::Edge const&>(GraphAlgo::Edge*, GraphAlgo::Edge const&)
  0.00      0.00     0.00       20     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >* std::__addressof<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >&)
  0.00      0.00     0.00       20     0.00     0.00  GraphAlgo::Edge const& std::forward<GraphAlgo::Edge const&>(std::remove_reference<GraphAlgo::Edge const&>::type&)
  0.00      0.00     0.00       19     0.00     0.00  std::_Identity<std::pair<int, int> >::operator()(std::pair<int, int>&) const
  0.00      0.00     0.00       17     0.00     0.00  std::remove_reference<GraphAlgo::Edge&>::type&& std::move<GraphAlgo::Edge&>(GraphAlgo::Edge&)
  0.00      0.00     0.00       16     0.00     0.00  GraphAlgo::Edge* std::__niter_base<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::difference_type __gnu_cxx::operator-<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       15     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00       15     0.00     0.00  std::__new_allocator<GraphAlgo::Edge>::~__new_allocator()
  0.00      0.00     0.00       15     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_S_relocate(GraphAlgo::Edge*, GraphAlgo::Edge*, GraphAlgo::Edge*, std::allocator<GraphAlgo::Edge>&)
  0.00      0.00     0.00       15     0.00     0.00  void std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_realloc_append<int&, int&>(int&, int&)
  0.00      0.00     0.00       15     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00       15     0.00     0.00  GraphAlgo::Edge* std::__relocate_a<GraphAlgo::Edge*, GraphAlgo::Edge*, std::allocator<GraphAlgo::Edge> >(GraphAlgo::Edge*, GraphAlgo::Edge*, GraphAlgo::Edge*, std::allocator<GraphAlgo::Edge>&)
  0.00      0.00     0.00       15     0.00     0.00  GraphAlgo::Edge* std::__to_address<GraphAlgo::Edge>(GraphAlgo::Edge*)
  0.00      0.00     0.00       15     0.00     0.00  GraphAlgo::Edge* std::__relocate_a_1<GraphAlgo::Edge*, GraphAlgo::Edge*, std::allocator<GraphAlgo::Edge> >(GraphAlgo::Edge*, GraphAlgo::Edge*, GraphAlgo::Edge*, std::allocator<GraphAlgo::Edge>&)
  0.00      0.00     0.00       15     0.00     0.00  void std::__relocate_object_a<GraphAlgo::Edge, GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >(GraphAlgo::Edge*, GraphAlgo::Edge*, std::allocator<GraphAlgo::Edge>&)
  0.00      0.00     0.00       15     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00       15     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_realloc_append<int&, int&>(int&, int&)::_Guard::_Guard(GraphAlgo::Edge*, unsigned long, std::allocator<GraphAlgo::Edge>&)
  0.00      0.00     0.00       15     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_realloc_append<int&, int&>(int&, int&)::_Guard::~_Guard()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator++()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > const*, std::vector<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >, std::allocator<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > > >::base() const
  0.00      0.00     0.00       12     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       11     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_mbegin() const
  0.00      0.00     0.00       11     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      0.00     0.00       11     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00       11     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.00     0.00       11     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_begin()
  0.00      0.00     0.00       10     0.00     0.00  GraphAlgo::Graph::addEdge(int, int, int)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::__normal_iterator<GraphAlgo::Edge*, void>(__gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::difference_type __gnu_cxx::operator-<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::cbegin() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >* std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node::operator()<std::pair<int, int> >(std::pair<int, int>&&) const
  0.00      0.00     0.00       10     0.00     0.00  void std::_Destroy_aux<true>::__destroy<GraphAlgo::Edge*>(GraphAlgo::Edge*, GraphAlgo::Edge*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_deallocate(GraphAlgo::Edge*, unsigned long)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::~_Vector_base()
  0.00      0.00     0.00       10     0.00     0.00  std::_Bit_reference::operator=(bool)
